height,sex,edu,age,earnings
189,male,16,45,50000
166,female,16,58,60000
162,female,16,29,30000
160,female,16,91,50000
161,female,17,39,51000
164,female,15,26,9000
157,female,12,49,29000
185,male,17,46,32000
183,male,15,21,2000
183,male,12,26,27000
177,male,16,65,6530
173,male,11,34,30000
172,male,12,27,12000
166,female,12,51,12000
167,female,16,35,22000
172,male,12,58,17000
174,female,14,29,40000
177,male,13,44,44000
163,female,12,55,7000
186,male,13,35,53000
158,female,13,51,5000
160,female,14,21,14000
171,male,14,22,5500
166,female,12,41,40000
183,male,12,45,34000
160,female,12,35,10000
163,female,16,60,27000
182,male,16,38,50000
195,male,16,33,41000
162,Female,14,25,15000
162,female,12,33,25000
182,male,17,39,75000
172,male,17,31,27000
164,female,12,26,12000
155,female,14,78,7500
170,female,14,31,30000
166,female,12,57,21000
161,female,14,26,27000
169,female,15,65,3000
165,female,12,30,25000
165,female,12,41,24000
170,female,18,29,32000
173,female,17,30,10000
154,female,12,21,11000
165,female,13,32,18700
157,female,12,29,20000
182,male,10,18,3500
171,male,8,56,13000
178,male,12,65,25000
177,male,17,41,21000
172,female,17,49,34000
153,female,12,65,6000
180,male,12,28,17000
181,male,12,32,35000
185,male,13,18,4000
173,female,14,55,14000
169,female,12,57,10000
176,male,16,29,25000
161,female,14,27,16000
157,male,14,28,16000
163,female,14,43,16500
162,female,9,68,4000
170,female,9,52,3840
181,male,12,39,22000
151,female,16,53,200
167,female,16,27,26000
169,female,15,21,2500
164,female,14,39,17000
179,female,13,22,8000
167,female,13,68,12000
157,female,12,47,10000
167,female,15,67,10000
182,male,12,39,15000
170,female,8,39,2400
173,male,12,32,30000
178,male,12,33,30000
157,female,12,38,10000
160,female,13,26,5000
167,female,13,63,12000
179,female,10,61,20000
174,female,12,36,20000
178,male,14,23,20000
168,female,12,20,1200
174,female,16,32,700
178,male,16,27,20000
155,female,12,22,10000
161,female,12,73,30000
163,female,14,56,40000
171,male,12,89,25000
154,female,17,79,10000
175,female,18,63,60000
172,female,12,66,18000
164,female,12,33,16040
170,Female,14,30,15000
175,male,17,23,10000
170,female,13,43,33000
173,female,12,30,18000
161,female,12,37,15000
181,male,12,22,21000
163,female,17,43,21000
174,male,11,37,37000
171,female,17,44,38000
167,female,14,43,17000
195,male,16,30,32000
170,female,12,58,27500
158,female,12,44,16500
170,female,18,35,25000
155,female,18,43,27000
163,female,12,28,5000
156,female,16,38,70000
159,female,12,40,5000
173,male,16,24,5000
162,female,15,26,20000
184,male,15,21,4000
163,female,16,35,60000
156,female,13,31,5000
189,male,12,38,30000
178,male,14,35,70000
181,male,16,41,50000
159,female,12,39,44000
163,female,14,43,30000
156,female,16,40,10000
179,female,17,42,23000
181,male,17,62,45000
181,male,14,31,15000
178,female,14,71,4000
171,male,14,31,17000
162,female,12,32,30000
170,female,12,30,27500
157,female,8,69,5688
158,female,13,56,18000
173,male,13,44,43000
156,female,14,44,32000
174,female,18,56,10000
188,male,13,45,60000
172,female,12,50,21000
158,female,16,22,2400
168,female,15,28,1000
173,male,12,27,27000
152,female,14,28,6600
173,male,8,43,16000
182,male,12,26,90000
169,female,12,42,8000
174,male,10,32,20000
174,female,12,18,15000
175,female,12,60,12000
163,female,16,46,24000
165,female,14,39,20000
154,female,12,46,19000
183,male,12,49,10000
166,female,16,34,40000
173,male,14,64,25000
179,male,12,24,25000
181,male,14,32,25000
181,male,16,61,19000
173,male,16,48,44000
153,female,14,49,15000
159,female,12,36,17000
173,male,12,56,24000
163,female,12,37,23000
177,male,12,74,13000
173,male,16,46,65000
155,female,12,63,7000
174,male,18,63,40000
168,female,17,43,15000
177,male,16,25,20000
180,male,12,50,20000
165,female,12,42,20000
168,female,12,49,25000
178,male,13,37,49000
157,female,12,65,25000
168,female,14,57,11000
155,female,15,38,16000
182,male,14,43,35000
189,male,18,45,125000
169,female,12,47,23000
168,female,16,28,17000
157,female,12,41,27000
182,male,14,32,70000
